"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"Memphis Theological Seminary",NA,35.13311,-89.982653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle Tennessee State University",37132,35.849139,-86.362094,0.726,0.0261,8080,24808,7917,10092,13656,15501,15883,NA,NA,NA,NA,NA,2040,NA,7155,21758.5,60340.43,8100,18800,41200,54700,9900,23500,53000,72200
"Middle Tennessee School of Anesthesia Inc",37115,36.252997,-86.683396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee College of Applied Technology-Morristown",NA,36.205155,-83.299259,NA,0.0359,NA,NA,8654,12730,14273,14805,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,41039.33,5500,11000,34800,47300,6000,12600,39300,52300
"Motlow State Community College",37388,35.365519,-86.299406,NA,0.1483,3949,11701,5967,7378,9722,11470,12303,NA,NA,NA,NA,NA,497,NA,5289,4500,50528.09,5000,13100,35800,48300,5500,15100,40900,54300
"Tennessee College of Applied Technology-Murfreesboro",NA,35.847576,-86.448159,NA,0.0317,NA,NA,9291,9194,11290,2742,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,59082.22,5400,14600,35000,45600,NA,17200,42000,NA
"Lincoln College of Technology-Nashville",37206,36.195405,-86.745662,NA,0,NA,NA,NA,NA,NA,NA,NA,18489,19060,21060,21822,22719,NA,107,5910,12000,51720.9,8100,16000,40900,57800,11100,18500,47500,69800
"Nashville College of Medical Careers",NA,36.29172,-86.706296,NA,0,NA,NA,NA,NA,NA,NA,NA,20451,20855,23605,NA,NA,NA,143,NA,9338.5,55428.07,3600,9200,27500,32800,5000,11200,31400,38600
"Nashville State Community College",NA,36.135453,-86.856723,NA,0.0579,3873,15273,4716,5302,7360,9451,9496,NA,NA,NA,NA,NA,880,NA,5502,11000,53070.25,4300,13700,35600,47000,7600,17700,44300,61000
"Tennessee College of Applied Technology-Newbern",38059,36.119958,-89.25718,NA,0.0426,NA,NA,7139,7129,10424,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,43515.04,4900,12000,34200,52700,2200,11900,37200,50600
"O'More College of Design",37064,35.920971,-86.868053,0.4718,0,27360,27360,NA,NA,NA,NA,NA,16466,14834,20469,23097,27253,NA,18,3942,28875,65443.71,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee College of Applied Technology-Paris",38242,36.296408,-88.296432,NA,0,NA,NA,6736,6214,10159,12441,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,41460.17,3900,9300,27800,38700,4600,11800,34800,42600
"Tennessee College of Applied Technology-Pulaski",NA,35.191008,-87.007923,NA,0.1477,NA,NA,6443,8292,10725,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,46779.51,4800,12800,36600,47600,4500,13800,38200,46500
"Rhodes College",NA,35.154424,-89.989187,0.4687,0,43224,43224,NA,NA,NA,NA,NA,17996,21172,22022,27951,33873,NA,290,8183,26217,73395.81,9200,20700,52600,70400,17000,32400,74600,118200
"Tennessee College of Applied Technology-Ripley",38063,35.745964,-89.555734,NA,0,NA,NA,6752,7128,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,41828.36,3400,12300,32900,42500,5300,14200,37400,43500
"Roane State Community College",37748,35.881291,-84.620766,0.9926,0.0215,3906,15180,6882,8086,10496,12095,12010,NA,NA,NA,NA,NA,507,NA,5996,9500,44967.61,5400,13800,36200,49900,4800,15900,42100,58100
"Tennessee College of Applied Technology-Crump",38327,35.221452,-88.319153,NA,0.047,NA,NA,4676,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,39132.87,3700,9800,32100,40700,4000,11400,34900,47500
"Southwest Tennessee Community College",38103,35.137577,-90.036543,1,0.0965,3963,15363,3928,4815,6278,7150,NA,NA,NA,NA,NA,NA,1038,NA,5119,NA,49779.97,5100,12900,30900,44500,6400,14400,37500,53300
"Tennessee College of Applied Technology-Shelbyville",NA,35.491199,-86.41729,NA,0.0534,NA,NA,5338,7401,7789,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,49716.22,5300,16300,37000,51200,5100,16200,45900,59400
"Sewanee-The University of the South",NA,35.20443,-85.917772,0.4059,0,38700,38700,NA,NA,NA,NA,NA,14115,14725,18093,22891,33582,NA,219,9282,19000,69475.78,5400,20400,47300,54900,12500,27600,59700,96500
"Tennessee College of Applied Technology-Oneida-Huntsville",NA,36.408479,-84.53037,NA,0,NA,NA,8233,8996,9300,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,32793.24,NA,10400,28500,NA,4100,NA,NA,44800
"Tennessee College of Applied Technology-Crossville",38555,35.946609,-85.039137,NA,0.0229,NA,NA,9873,8690,10329,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,38981.59,5600,12700,32500,41700,4100,13700,35100,43300
"Tennessee College of Applied Technology-McMinnville",37110,35.699836,-85.742809,NA,0,NA,NA,9079,7595,8957,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,41790.16,5000,13400,37100,42700,1700,12300,36000,50700
"Tennessee College of Applied Technology-Jackson",38301,35.611586,-88.91249,NA,0.0193,NA,NA,6228,6603,8340,10185,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,45592.63,3900,13800,38200,48800,3100,15000,37400,50400
"Tennessee College of Applied Technology-Knoxville",37919,35.957,-83.964151,NA,0,NA,NA,5582,6582,9292,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,47613.49,3000,11400,33300,40200,3900,12900,34500,44100
"Tennessee College of Applied Technology-Whiteville",NA,35.352932,-89.123885,NA,0,NA,NA,4356,4417,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,45597.45,3700,12700,35500,42100,2500,15300,47100,52500
"Pellissippi State Community College",NA,35.948303,-84.166504,NA,0.0788,3988,15388,6636,7374,9349,11562,11617,NA,NA,NA,NA,NA,1135,NA,6237,9350,53399.64,4200,12500,35300,47300,5000,14900,43700,58300
"Southern Adventist University",NA,35.049136,-85.050878,NA,0,20650,20650,NA,NA,NA,NA,NA,16566,17037,19393,22802,23767,NA,351,4631,26500,60144.84,6200,18700,48600,59900,7000,21800,59200,83000
"Southern College of Optometry",NA,35.138252,-90.019856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9323,NA,55368.03,37600,76600,113400,126700,NA,61600,121700,NA
"Tennessee Wesleyan University",37303,35.444939,-84.592647,0.6479,0,22900,22900,NA,NA,NA,NA,NA,10591,11529,12029,13399,16895,NA,149,4687,18750,48462.92,9900,20100,42100,56600,9000,23800,52400,67000
"The University of Tennessee-Chattanooga",NA,35.048247,-85.299812,0.7922,0.0098,8356,24474,7389,10436,14664,15479,15481,NA,NA,NA,NA,NA,1981,NA,7695,20792,55964.16,7800,19000,40800,56100,10900,23600,50800,74600
"The University of Tennessee-Knoxville",37996,35.955093,-83.929696,0.763,0,12436,30856,9876,13893,21900,23563,23922,NA,NA,NA,NA,NA,2323,NA,10457,20000,60752.93,10700,21900,51700,69700,12700,27800,67000,94300
"The University of Tennessee-Martin",38238,36.340338,-88.864211,0.6965,0,8326,22270,4675,6717,10603,11412,11390,NA,NA,NA,NA,NA,830,NA,6872,23500,48533.54,7500,17500,38400,51600,9400,21800,49400,67400
"Fountainhead College of Technology",37918,35.91684,-84.128271,NA,0.0395,14750,14750,NA,NA,NA,NA,NA,20688,21906,24035,24706,NA,NA,70,2917,20256,48915.99,5300,NA,NA,70700,7700,26600,57400,77300
"Tennessee School of Beauty of Knoxville Inc",37921,35.975487,-83.99584,NA,0,NA,NA,NA,NA,NA,NA,NA,10496,12704,14996,NA,NA,NA,47,NA,7307,48032.39,NA,NA,NA,NA,3600,5100,26300,36700
"Tennessee State University",NA,36.16899,-86.82937,NA,0.0081,7112,19832,9716,10504,11553,15948,15413,NA,NA,NA,NA,NA,813,NA,7124,28000,53809.87,7100,16700,39700,57900,9500,20800,49800,70300
"Tennessee Technological University",NA,36.174659,-85.503957,0.6832,0.0285,8011,23443,10477,12009,15756,16989,17379,NA,NA,NA,NA,NA,1144,NA,7726,16000,49227.15,10000,20700,44000,58800,11400,24500,55700,79100
"Trevecca Nazarene University",37210,36.142115,-86.753566,0.7252,0,23748,23748,NA,NA,NA,NA,NA,12855,14471,15067,16872,20960,NA,228,6505,18750,59625.44,9600,21100,50700,75900,10200,24200,55700,80900
"Northeast State Community College",NA,36.48558,-82.408626,NA,0.1389,3936,15336,6073,6245,8321,9540,NA,NA,NA,NA,NA,NA,682,NA,5598,4007,45091.73,4100,11700,33600,47600,4800,13800,39200,58600
"Tusculum College",37743,36.172558,-82.761716,0.6896,0,22670,22670,NA,NA,NA,NA,NA,16911,18576,19453,20339,21332,NA,261,3891,27000,49705.55,10000,18400,40500,59700,15700,25500,52600,81000
"Union University",NA,35.676896,-88.858524,0.6913,0,29190,29190,NA,NA,NA,NA,NA,17903,22594,25424,27824,29568,NA,217,7134,24840,58820.27,10100,21100,48700,74000,9900,27700,62700,77900
"New Concepts School of Cosmetology",37311,35.15361,-84.895259,NA,0,NA,NA,NA,NA,NA,NA,NA,18177,NA,NA,NA,NA,NA,10,NA,9661,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vanderbilt University",37240,36.14443,-86.804875,0.1168,0,44712,44712,NA,NA,NA,NA,NA,6947,5615,9578,15785,34081,NA,521,13419,14000,76279.78,12700,33300,73700,102200,22300,43500,96600,144000
"Volunteer Beauty Academy-Dyersburg",NA,36.03922,-89.411321,NA,0,NA,NA,NA,NA,NA,NA,NA,9890,NA,12888,NA,NA,NA,10,NA,7500,41076.09,NA,NA,NA,NA,NA,NA,NA,NA
"Volunteer State Community College",NA,36.363603,-86.497317,NA,0,3925,15325,6472,6800,9488,11019,11437,NA,NA,NA,NA,NA,743,NA,5514,6500,56576.27,5200,15100,37400,50900,6200,17000,44100,59600
"Walters State Community College",NA,36.213904,-83.262191,NA,0.0179,3936,15336,3435,3703,6070,7107,NA,NA,NA,NA,NA,NA,741,NA,5825,4000,42742.32,5100,12800,32600,46400,5300,15300,40200,54300
"West Tennessee Business College",38301,35.635873,-88.848918,NA,0,NA,NA,NA,NA,NA,NA,NA,10143,10225,10263,11731,NA,NA,68,2325,9228,45915.04,3000,10200,25900,32900,3800,11400,27900,39600
"William Moore College of Technology",NA,35.144863,-90.020169,NA,0,5985,5985,NA,NA,NA,NA,NA,11500,13491,NA,NA,NA,NA,33,4140,NA,43130.5,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene Christian University",79699,32.46915,-99.70954,0.4992,0,30830,30830,NA,NA,NA,NA,NA,19414,20967,22666,24493,28991,NA,627,7739,25325,67136.19,8700,21100,47100,57900,9600,25900,58500,78700
"Alvin Community College",NA,29.396581,-95.241078,NA,0.0258,1514,3794,3332,4323,6831,NA,NA,NA,NA,NA,NA,NA,26,NA,6258,6127.5,67051.89,5600,15900,49700,65900,6000,17200,54000,74300
"Amarillo College",79109,35.18841,-101.847104,NA,0.0498,2010,4578,4218,4413,6436,7484,9268,NA,NA,NA,NA,NA,483,NA,5982,10825,47874.78,5300,15400,40700,55400,7600,16700,49400,69500
"Angelina College",NA,31.28736,-94.73163,NA,0.0834,2310,4950,7823,7825,7879,8220,NA,NA,NA,NA,NA,NA,432,NA,5522,NA,43746.75,4500,13700,37000,51300,6100,16300,43100,60600
"Angelo State University",76909,31.44145,-100.466495,0.7672,0,6892,16252,14012,13620,14888,15191,15561,NA,NA,NA,NA,NA,874,NA,7018,21456,49632.36,8800,19700,44700,62600,11200,25600,54400,77400
"Arlington Baptist College",NA,32.739543,-97.155661,NA,0,11000,11000,NA,NA,NA,NA,NA,14166,14825,17073,17750,18900,NA,28,3650,26001,61756.37,NA,NA,NA,NA,NA,NA,NA,NA
"Arlington Career Institute",75050,32.77244,-97.052772,NA,0,NA,NA,NA,NA,NA,NA,NA,26216,28363,29181,30731,NA,NA,184,NA,9500,63457.57,5900,11800,34600,45100,6500,14500,40200,51100
"The Art Institute of Houston",NA,29.730409,-95.445776,NA,0.0179,17664,17664,NA,NA,NA,NA,NA,22854,23664,26137,29632,29963,NA,177,4724,31025,66013.77,6100,14900,40500,51800,7300,18000,51600,68400
"Austin College",NA,33.646307,-96.598772,0.541,0,36230,36230,NA,NA,NA,NA,NA,17432,17355,19950,22898,26996,NA,290,7047,26000,74623.54,10600,22700,46700,57200,19000,32700,68400,91200
"Austin Community College District",78752,30.333508,-97.68172,NA,0.0637,2550,11340,7424,8000,10768,13107,13332,NA,NA,NA,NA,NA,773,NA,7381,7500,66212.06,6100,16100,41200,55900,7400,20200,51200,71500
"Austin Presbyterian Theological Seminary",NA,30.292635,-97.737752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baldwin Beauty School-South Austin",NA,30.241667,-97.783069,NA,0,NA,NA,NA,NA,NA,NA,NA,10083,9354,11048,13628,13628,NA,32,NA,5625,68079.01,3100,NA,NA,39900,NA,9800,31400,NA
"Baptist Health System School of Health Professions",78229,29.517296,-98.568633,NA,0,1488,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6201,18562,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baptist Missionary Association Theological Seminary",NA,31.976958,-95.252385,0.7,0,5700,5700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3099,NA,48842.7,NA,NA,NA,NA,NA,NA,NA,NA
"Baylor College of Medicine",NA,29.7106,-95.395743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10890,NA,72825.69,48500,NA,NA,148400,NA,102700,250000,NA
"Baylor University",76798,31.545956,-97.119359,0.4367,0,40198,40198,NA,NA,NA,NA,NA,28128,27851,30065,32247,37236,NA,2199,9264,25000,73627.32,10700,25800,56400,68000,15000,32600,71700,98100
"Coastal Bend College",78102,28.435756,-97.75632,NA,0.0811,3576,3576,7486,8037,9293,10138,10336,NA,NA,NA,NA,NA,290,NA,5051,NA,40544.69,5100,13600,42200,57700,4600,14500,41100,63400
"Blinn College",NA,30.159713,-96.409677,NA,0,2256,5904,11407,10865,13705,14318,14742,NA,NA,NA,NA,NA,2903,NA,5645,11586,58049.01,6700,17900,46700,60200,8500,22500,56400,78700
"Remington College-Dallas Campus",75041,32.8606,-96.654112,0.8778,0,14566,14566,NA,NA,NA,NA,NA,20301,20865,21440,23053,25534,NA,301,4006,13280,48574.41,4200,10700,29700,38000,5600,15400,37000,56900
"Vet Tech Institute of Houston",77027,29.728667,-95.454505,0.3758,0,14200,14200,NA,NA,NA,NA,NA,12006,12525,18560,16640,19330,NA,20,4470,12000,57044.74,6800,14600,34600,40900,11000,21000,38300,52600
"Brazosport College",NA,29.04836,-95.409004,NA,0.183,2385,5025,3161,3419,5207,5258,9458,NA,NA,NA,NA,NA,83,NA,6701,5250,60212.95,5000,15300,42500,70000,5900,16400,50400,70600
"Brookhaven College",NA,32.928237,-96.85016,NA,0,1770,5220,3636,4167,6746,NA,NA,NA,NA,NA,NA,NA,235,NA,7185,8776,72359.83,6600,17700,44200,60000,10300,20800,53400,73200
"Cedar Valley College",NA,32.625686,-96.763421,NA,0,1770,5220,4342,5403,7549,7438,10018,NA,NA,NA,NA,NA,246,NA,6924,9500,58539.48,5700,14500,37200,48600,6300,15200,42900,57700
"Central Texas College",NA,31.119054,-97.809704,NA,0.0135,2280,6420,4316,4430,6513,8693,NA,NA,NA,NA,NA,NA,275,NA,5340,6500,51396.36,4600,13600,39000,55400,7400,15100,46000,68900
"Charles and Sues School of Hair Design",77802,30.652585,-96.340188,NA,0,NA,NA,NA,NA,NA,NA,NA,14747,NA,NA,NA,NA,NA,40,NA,NA,46021.67,NA,NA,NA,NA,NA,NA,NA,NA
"Cisco College",76437,32.401694,-98.985681,NA,0,3510,4410,7536,8091,9037,12181,NA,NA,NA,NA,NA,NA,239,NA,4337,NA,46967.75,5500,14100,37300,52000,6500,16400,45400,61700
"Clarendon College",79226,34.945076,-100.904577,NA,0,2424,3720,6291,6619,8119,10761,9415,NA,NA,NA,NA,NA,159,NA,4396,9199,45270.71,3200,13000,38100,55900,4400,16300,48800,69700
"Concordia University-Texas",78726,30.420952,-97.836247,0.8214,0,28160,28160,NA,NA,NA,NA,NA,16581,19129,20048,20741,24507,NA,173,6657,27174.5,72128.5,11400,23800,47900,71700,11500,27800,56500,86600
"Conlee's College of Cosmetology",NA,30.054852,-99.150036,NA,0,NA,NA,NA,NA,NA,NA,NA,4044,NA,7615,NA,NA,NA,14,NA,NA,50757.31,NA,NA,NA,NA,NA,NA,NA,NA
"North Central Texas College",NA,33.618269,-97.165273,NA,0.0412,1680,4800,4746,4862,7313,8833,9175,NA,NA,NA,NA,NA,391,NA,5819,6750,64638.91,6600,15700,43200,58800,6900,17800,48400,66500
"Texas A & M University-Corpus Christi",NA,27.718601,-97.331933,0.8377,0.0128,7976,17442,13599,14614,16467,17426,13361,NA,NA,NA,NA,NA,845,NA,7846,23000,54287.8,8700,21600,48600,64400,12900,27400,59500,81800
"Cosmetology Career Center LLC",75006,32.973328,-96.843526,NA,0,NA,NA,NA,NA,NA,NA,NA,19685,20070,22178,22918,22202,NA,90,NA,11931,83172.47,5000,9900,37300,53300,3400,10500,42200,55700
"Dallas Baptist University",NA,32.710017,-96.947006,0.4191,0,24890,24890,NA,NA,NA,NA,NA,20848,20880,24085,25306,28366,NA,287,8306,21750,71641.68,7700,22200,53600,68900,9300,24400,60500,81300
"Dallas Christian College",NA,32.913698,-96.887124,0.5092,0,16536,16536,NA,NA,NA,NA,NA,20050,22751,19293,16496,21895,NA,51,4544,28621.5,69721.15,5900,17800,43500,65500,10600,21900,54000,81600
"Dallas Institute of Funeral Service",NA,32.771374,-96.683412,NA,0,11150,11150,NA,NA,NA,NA,NA,12479,12458,15213,16913,16913,NA,28,4229,12500,55194.36,7200,18900,43900,54500,7000,21300,51700,67800
"Dallas Theological Seminary",75204,32.7943,-96.779957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University of Dallas",NA,32.846202,-96.921573,0.64,0,35800,35800,NA,NA,NA,NA,NA,23882,21179,23146,24848,28622,NA,202,7505,24000,75912.69,10200,21200,47000,69100,12700,27500,62500,83700
"Del Mar College",NA,27.763623,-97.407627,NA,0.048,2546,4808,4189,5096,6899,9677,8504,NA,NA,NA,NA,NA,343,NA,6771,4279.5,48967.31,5800,14300,40700,58700,5600,16900,47300,68800
"Career Point College",78201,29.49252,-98.551321,NA,0,19350,19350,NA,NA,NA,NA,NA,28791,29831,32291,NA,NA,NA,449,3750,15333,48317.94,2600,7300,25500,35300,3300,10500,30400,38700
"East Texas Baptist University",NA,32.554545,-94.374337,0.5532,0,24218,24218,NA,NA,NA,NA,NA,18756,18876,19863,22998,24462,NA,298,6342,26000,56363.11,9200,19600,44900,58200,8700,23800,54000,76600
"Texas A&M University-Texarkana",75503,33.49561,-94.10398,0.7087,0,6411,16437,4914,8702,11234,13133,11762,NA,NA,NA,NA,NA,117,NA,8469,14504,44204.3,10000,22300,41300,52600,13200,23200,44100,65000
"Texas A & M University-Commerce",NA,33.243814,-95.906913,0.4744,0.0056,6202,15562,6231,7357,10631,15089,16473,NA,NA,NA,NA,NA,755,NA,8124,20514.5,57562.14,8400,19600,43200,52800,10100,26000,50000,65500
"Eastfield College",NA,32.815679,-96.65947,NA,0.072,1770,5220,3551,4186,6246,8088,9100,NA,NA,NA,NA,NA,421,NA,7117,9500,59222,6500,13700,38000,49800,7300,16800,47400,62700
"El Centro College",NA,32.779817,-96.805361,NA,0,1770,5220,4098,4848,6617,3970,NA,NA,NA,NA,NA,NA,212,NA,6521,10950,53236.19,5600,14300,36700,52200,7200,14900,44200,65000
"El Paso Community College",79925,31.77234,-106.371671,NA,0.0059,2386,4042,2827,3822,5761,8383,9015,NA,NA,NA,NA,NA,2198,NA,5759,6502,43178.32,4800,12500,33400,45600,6900,14500,40500,60200
"Western Technical College",79924,31.877799,-106.425891,NA,0,NA,NA,NA,NA,NA,NA,NA,13674,14474,17843,NA,NA,NA,109,3614,13432.5,42295.43,5100,13900,36400,48000,8300,16800,43700,65000
"Western Technical College",79927,31.675953,-106.319269,NA,0.1317,NA,NA,NA,NA,NA,NA,NA,16350,26965,NA,NA,NA,NA,177,3116,13432.5,42295.43,5100,13900,36400,48000,8300,16800,43700,65000
"Episcopal Theological Seminary of the Southwest",78705,30.293097,-97.73266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exposito School of Hair Design",NA,35.183652,-101.88126,NA,0,NA,NA,NA,NA,NA,NA,NA,12660,10247,11781,NA,NA,NA,14,NA,4333.5,48205.7,NA,NA,NA,NA,NA,NA,NA,NA
"South University-The Art Institute of Dallas",NA,32.871014,-96.76783,NA,0,17664,17664,NA,NA,NA,NA,NA,23046,23578,26000,27184,28441,NA,199,5508,25000,69396.45,7600,15200,47800,74600,7100,16000,49200,67200
"Fort Worth Beauty School",76116,32.72171,-97.446494,NA,0,NA,NA,NA,NA,NA,NA,NA,9206,10999,12765,13226,13226,NA,122,NA,NA,51641.65,3100,10300,26900,35500,7000,10200,30500,39100
"Frank Phillips College",NA,35.655151,-101.405653,NA,0.2573,3052,4042,6811,8122,8835,12399,11999,NA,NA,NA,NA,NA,50,NA,4024,6547,49918.97,3100,12600,42400,57500,5600,12400,48300,66700
"Galveston College",NA,29.284212,-94.80854,NA,0.0069,1900,4270,2864,4357,6653,8415,6794,NA,NA,NA,NA,NA,66,NA,6257,7528,47024.19,6100,13300,42000,65900,6100,18500,52800,63100
"Grayson College",NA,33.706482,-96.633557,NA,0.0815,1872,3888,6092,6968,8818,8429,NA,NA,NA,NA,NA,NA,364,NA,5710,8000,51981.82,4700,15200,39800,58300,6000,16600,48100,69300
"Hallmark University",NA,29.538447,-98.568626,NA,0,NA,NA,NA,NA,NA,NA,NA,15894,16193,18176,20045,20045,NA,133,4886,19160,55040.41,6300,14100,42200,58700,7500,17600,53500,72500
"Hardin-Simmons University",NA,32.476786,-99.733815,0.6,0,24500,24500,NA,NA,NA,NA,NA,18882,17165,17363,14267,25507,NA,290,6669,25989,59593.97,9300,24500,49200,59100,9900,25600,58200,80700
"Trinity Valley Community College",75751,32.195686,-95.858058,NA,0.0923,2340,4680,6230,6564,8952,12136,12127,NA,NA,NA,NA,NA,578,NA,5866,9250,50517.91,3800,11500,36500,56700,4800,14100,45400,65800
"Hill College",76645,32.012892,-97.086255,NA,0,2220,3310,6978,7125,10109,12540,12197,NA,NA,NA,NA,NA,317,NA,4904,9500,52377.48,4500,13400,40200,57500,4100,14700,45800,61100
"Houston Baptist University",NA,29.694414,-95.515978,0.3323,0,29800,29800,NA,NA,NA,NA,NA,18834,18392,20720,21858,23254,NA,446,6527,24166.5,72476.33,8800,22000,52100,68800,9700,28100,66500,85900
"University of Houston-Clear Lake",NA,29.582523,-95.098129,0.6538,0,5802,16170,6704,10567,14108,20390,20650,NA,NA,NA,NA,NA,93,NA,8738,17150,67975.01,11900,28400,51400,67600,13900,35200,63500,94100
"Houston Community College",77002,29.737303,-95.376524,NA,0.0371,1632,3756,6967,7956,9778,11518,11744,NA,NA,NA,NA,NA,2074,NA,6963,10500,55501.24,6100,14700,40700,56800,8000,18500,50500,71200
"University of Houston-Downtown",NA,29.763831,-95.35953,0.7763,0.0265,5780,15140,5882,6639,10209,14394,15813,NA,NA,NA,NA,NA,644,NA,7715,18750,59551.33,9900,23200,51200,64500,11100,27600,58900,82000
"University of Houston-Victoria",77901,28.816438,-96.978193,0.5317,0,7086,18804,8645,10464,12601,15599,16405,NA,NA,NA,NA,NA,285,NA,8282,17529,60679.92,10400,26600,49100,60500,10800,28200,50600,71200
"University of Houston",NA,29.719988,-95.344851,0.5972,0.0414,8759,20519,11057,11361,14180,19975,20599,NA,NA,NA,NA,NA,2246,NA,10881,19750,68874.27,10800,25100,58300,77200,13600,32700,74600,1e+05
"Howard College",79720,32.252298,-101.450113,NA,0.0818,2542,5402,4898,4171,7400,10132,10132,NA,NA,NA,NA,NA,219,NA,4436,6750,44997.52,4800,13900,39700,57700,5700,15200,45000,64300
"Howard Payne University",NA,31.716345,-98.984956,0.8525,0,25600,25600,NA,NA,NA,NA,NA,14796,15763,18771,19802,22425,NA,261,5590,25686.5,55883.95,7800,17900,42100,51700,8400,23000,51000,68900
"Huston-Tillotson University",NA,30.264672,-97.721698,0.4742,0,14346,14346,NA,NA,NA,NA,NA,16045,15604,20014,21676,22854,NA,169,5440,NA,57117.25,4500,14200,37100,50800,9100,17400,45400,55400
"University of the Incarnate Word",78209,29.468052,-98.467709,0.9222,0.0096,27798,27798,NA,NA,NA,NA,NA,18497,19538,20319,23441,24874,NA,678,7867,27179,59715.43,9300,23400,52700,69400,12600,27900,63200,85300
"International Business College-El Paso",NA,31.81416,-106.538152,NA,0,NA,NA,NA,NA,NA,NA,NA,19510,20010,NA,NA,NA,NA,55,NA,9500,42372.71,3400,8900,25700,32700,5400,11800,29400,41300
"ITT Technical Institute-Arlington",76011,32.760196,-97.106932,0.8935,0.4968,18048,18048,NA,NA,NA,NA,NA,23555,23718,25963,27673,27741,NA,123,4659,25429,61813.57,6400,15800,46800,64300,8900,23000,57200,77000
"ITT Technical Institute-Houston West",NA,29.734106,-95.539917,0.9183,0.4582,18048,18048,NA,NA,NA,NA,NA,22580,23765,26280,27050,27198,NA,71,5644,25429,61232.2,6400,15800,46800,64300,8900,23000,57200,77000
"Jacksonville College-Main Campus",NA,31.966072,-95.281249,NA,0,7275,7275,NA,NA,NA,NA,NA,5007,5925,6901,11361,NA,NA,85,3129,NA,43424.19,2800,11500,34600,39900,6400,11300,38200,53600
"Jarvis Christian College",NA,32.588249,-95.17773,NA,0,11720,11720,NA,NA,NA,NA,NA,17121,19181,22954,NA,NA,NA,187,7417,30483.5,49930.58,2200,9800,28900,36900,4100,12900,37000,49600
"KD Conservatory College of Film and Dramatic Arts",75207,32.808104,-96.840687,0.5489,0,16625,16625,NA,NA,NA,NA,NA,15492,15704,19719,20859,17959,NA,32,6700,18856,62694.41,800,10400,30800,49200,8300,12200,42500,54900
"Kilgore College",NA,32.378214,-94.870073,NA,0.1136,1464,4320,4835,5409,10081,8039,NA,NA,NA,NA,NA,NA,395,NA,5750,12000,48139.01,4200,13200,40700,55200,4400,15100,44500,64600
"Lamar University",77705,30.044274,-94.073389,0.7911,0.0188,8002,17362,11079,11547,14350,17494,17808,NA,NA,NA,NA,NA,870,NA,7791,22000,53474.77,7500,18300,47600,65500,9400,24700,57700,89300
"Lamar State College-Orange",77630,30.091561,-93.732127,NA,0.0094,3950,13310,2834,4137,2618,7321,8011,NA,NA,NA,NA,NA,154,NA,5077,11500,48938.24,3900,13300,42900,56100,4400,12500,43500,66500
