"college_names","college_zipcodes","college_latitudes","college_longitudes","college_admission_rates","college_STEM_degrees","college_in_state_cost","college_out_state_cost","public_avg_cost_25","public_avg_cost_50","public_avg_cost_75","public_avg_cost_100","public_avg_cost_rest","private_avg_cost_25","private_avg_cost_50","private_avg_cost_75","private_avg_cost_100","private_avg_cost_rest","title_4_public","title_4_private","faculty_salary","median_grad_debt","household_income","grad_income_10th.2","grad_income_25th.2","grad_income_75th.2","grad_income_90th.2","grad_income_10th.6","grad_income_25th.6","grad_income_75th.6","grad_income_90th.6"
"House of Heavilin Beauty College-Kansas City",NA,39.023092,-94.574045,NA,0,NA,NA,NA,NA,NA,NA,NA,16395,NA,NA,NA,NA,NA,16,NA,12500,39572.36,NA,NA,NA,NA,NA,NA,NA,NA
"Independence College of Cosmetology",64055,39.079522,-94.425816,NA,0,NA,NA,NA,NA,NA,NA,NA,10112,9711,15321,15581,NA,NA,18,NA,11664.5,60641.49,3800,NA,NA,33400,NA,8800,30500,NA
"Jefferson College",NA,38.259889,-90.558954,NA,0.0144,2400,4728,4950,5512,6882,7687,8368,NA,NA,NA,NA,NA,563,NA,5219,10174,60904.47,4900,13700,34900,50700,6100,16700,44200,57700
"Paul Mitchell the School-Missouri Columbia",65202,38.969222,-92.310417,NA,0,NA,NA,NA,NA,NA,NA,NA,12045,13763,16193,16193,NA,NA,37,NA,12125,49784.43,NA,NA,NA,NA,NA,NA,NA,NA
"Barnes-Jewish College Goldfarb School of Nursing",63110,38.636881,-90.260648,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6715,19062,63458,18400,39800,65600,75200,18800,34500,68700,84600
"Kansas City Art Institute",NA,39.046353,-94.583594,0.5802,0,35270,35270,NA,NA,NA,NA,NA,26769,31094,30614,34066,32310,NA,110,6054,27000,67668.37,3700,13600,32400,45600,3400,17200,43800,48400
"Kenrick Glennon Seminary",NA,38.584608,-90.324024,0.875,0,20050,20050,NA,NA,NA,NA,NA,27917,NA,NA,NA,NA,NA,1,4425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A T Still University of Health Sciences",63501,40.193648,-92.589183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8975,NA,66836.27,NA,NA,NA,NA,NA,99800,250000,NA
"Lake Career and Technical Center",65020,38.006275,-92.733697,NA,0.0588,4500,4500,3410,3731,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,44691.29,NA,NA,NA,NA,NA,NA,NA,NA
"Lex La-Ray Technical Center",NA,39.174204,-93.86742,0.9286,0.04,NA,NA,14654,NA,NA,11822,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,51707.55,NA,NA,NA,NA,NA,NA,NA,NA
